Hôm nay ngày 06.02.2020 tôi có chở vợ lên bệnh viện Hòa Vang khám sức khỏe để làm hồ sơ xin việc làm . Đến lúc đến phòng khám chụp xquang thì nam bác sĩ nói cỡ tất hết áo , kể cả áo lót ra chụp hình . Xin hỏi có đúng quá trình chụp hình xquang như vậy có đúng không . Cảm ơn	Khác
Tôi là nhân viên trong UBND xã Xuân Phương . Vừa rồi tôi có nhận được hòm thư của xã tôi là xxp_tưliem link Tôi đã tiến hành thay đổi mật khẩu . Lần đầu tôi có mở được hòm thư . Nhưng đến lần thứ 2 , thì tôi không thể đăng nhập được . Xin ý kiến của của các chuyên viên ?	Khác
Điểm thu mua phế liệu tại 25 Phú Lộc 2 , Hoà Minh , Liên Chiểu vẫn đông người bán , môi trường nhếch nhác , địa phương đã nhắc nhở nhưng đâu cũng vào đấy . Không an toàn về môi trường phòng chống dịch theo chỉ thị 16 . Điểm thu mua tạm thời dừng hoạt động thì người thu gom cũng dừng và phòng chống dịch tốt hơn . Kính mong cơ quan chức năng kiểm tra và xử lý tình trạng trên . / .	Phản ánh người dân về dịch bệnh
Ô nhiễm môi trường do các hộ dân xả thải nước sinh hoạt gia đình ra tuyến đường đi nông thôn tại Tổ 2 Thôn thuận hoá , Xã lộc bổn , huyện Phú Lộc , TT - Huế , gây bất xúc trong lòng dân dài vẫn chưa được xử lý .	Vệ sinh môi trường
Hỏi vì sao ko được phát giấy hỗ trợ của Chính phủ do dịch covid 19 . Cùng ở một phường , từ khu vực 3 về ở khu vực 5 , nhưng lại ko có giấy , trong khi hộ khẩu vẫn ở khu vực 3 . Thiết nghỉ Ủy ban nhân dân phường Phú Hiệp xem xét . Trong khi ba thì làm thợ sơn , mẹ phụ bán cơm , con thì phụ bán áo quần , cũng trong chờ vào tiền hỗ trợ của Chính phủ .	Phản ánh người dân về dịch bệnh
Cổng Góp ý nhận được phản ánh của người dân qua Facebook có nội dung : Gần 1 tháng nay , tại số nhà 890 Tôn Đản ( gần Vũ Lăng ) , Hòa Phát , Cẩm Lệ có một mạch nước rò rất mạnh ( nghi là nước máy ) chảy suốt ngày suốt đêm . Thấy lãng phí , một hộ dân đã bắt thêm ống nhựa ( như hình ) để thỉnh thoảng sử dụng . Đề nghị cơ quan chức năng khắc phục sớm để tránh lãng phí nguồn nước sạch . Ảnh chụp ngày 17 - 11 link	Hạ tầng đô thị
Kính gửi : Ông Bí thư thành ủy , Ông Chủ tịch UBND thành phố Đà Nẵng . Chúng tôi là những hộ dân sống trước mặt TTHC quận Liên Chiểu xin phản ánh sự việc như sau : Trước trung tâm hành chính quận Liên Chiểu là đường Phú Thành 7 có đường đi vào Trường mầm non Tuổi Hoa hiện nay còn đường đất với nhiều ổ nhà ổ voi , thử hỏi đô thị loại 1 và trước mặt TTHC như vậy được chưa ? Đồng thời quán Làng Bia hiên ngang bỏ 6 thùng rác to giữa đường hàng ngày rất thối và không có chỗ người dân chúng tôi đi , ban đêm thì bãi xe quán Làng bia để hết ngoài đường gây khó khăn vấn đề đi lại . Nhiều lần chúng tôi báo lên lãnh đạo quận sau đó lãnh đạo cử quy tắc đô thị xuống kiểm tra thì quán Làng Bia bỏ bì vài đồng rồi lơ luôn . Đề nghị quý lãnh đạo xử lý gấp con đường nói trên hay là các ông đi ô tô cửa kín thì chúng tôi chỉ chỗ cho mà xử lý đừng để trường hợp như vậy nữa ảnh hưởng đến sức khỏe người dân ở đây .	Hạ tầng đô thị
Nhà 42 An Hải 18 thuộc phường An Hải Bắc , quận Sơn Trà sản xuất thức ăn cho chim gây mùi hôi thối nồng nặc ảnh hưởng đến sức khỏe người dân xung quanh . Trước đây cũng đã phản ánh và chủ hộ cũng đã cam kết không chế biến thức ăn cho chim tại nhà nữa nhưng đến nay vẫn sản xuất bình thường gây mùi rất khó chịu . Kính mong cơ quan chức năng có biện pháp xử lý triệt để .	Vệ sinh môi trường
Kính gửi các cơ quan chức năng . Tại địa chỉ : 23,25,27 đường Nguyễn Huệ , Phường Vĩnh Ninh , TP Huế , từ ngày xây dựng lại hệ thống nước đến nay để lại ứ đọng nước như trên . Làm ô nhiễm , mất vệ sinh và mất mỹ quan thành phố ... . Do lề đường bị nâng cao , không có ống thu nước , nhựa đường đổ thấy hơn trước đây ... Trước đây đã phản ảnh nhưng vẫn chưa được xử lý . Kính gửi các cơ quan chức năng xem xét giải quyết . Trân trọng !	Vệ sinh môi trường
Dây viễn thông võng xuống thấp , GÂY NGUY HIỂM CHO NGƯỜI ĐƯỜNG . Tại địa chỉ : cả đoạn đường số 5 , phường Bình Trưng Tây , Quận 2 . Kính chuyển Viettel TPHCM kiểm tra và khắc phục sự cố giúp người dân .	Hạ tầng viễn thông
